keys,es,en,personaje,emocion,image,escena
ntr5_visual_txt114,Ahorita se te quita el dolor y vas a empezar a disfrutar....,The pain will go away now and you're going to start enjoying it....,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt115,!!Ahhh... AHHHH!!❤,!!Ahhh... AHHHH!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt116,!!Ahhh....!!❤,!!Ahhh....!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt117,Mmmmh.....❤,Mmmmh.....❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt118,!!QUE RICOOOOOOOOO!! ❤,!!SO RICH!! ❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt119,!!Te dije perra!!,!!I called you a bitch!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt120,!!Ahhh....!!❤,!!Ahhh....!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt121,!!¿Te gusta que te violen 2 personas al mismo tiempo?!! JAJAJA,!!Do you like being raped by 2 people at the same time?!! HAHAHA,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt122,!!Siii!!❤,!!Yes!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt123,!!Todos cojanme!!❤,!!Everyone fuck me!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt124,!!Quiero mas vergas dentro de mi!!❤,!!I want more cocks inside me!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt125,!!Ahhh... AHHHH!!❤,!!Ahhh... AHHHH!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt126,!!Se siente increible!!❤,!!It feels incredible!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt127,!!Mas por favor!!❤,!!More please!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt128,!!Hey seguimos nosotros!!,!!Hey we're next!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt129,¿Que diria su novio si la viera siendo violada por tantos hombres a la vez?,What would her boyfriend say if he saw her being raped by so many men at once?,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt130,!!Ahhh... AHHHH!!❤,!!Ahhh... AHHHH!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt131,!!Ahhh....!!❤,!!Ahhh....!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt132,!!No me importa!!,!!I don't care!!,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt133,!!Ahhh... AHHHH!!❤,!!Ahhh... AHHHH!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt134,!!Solo quiero!!❤,!!I just want it!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt135,!!Ser cogida por ustedes!!❤,!!To be fucked by you!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt136,Mmmmh.....❤,Mmmmh.....❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt137,!!Ah..❤!!,!!Ah..❤!!,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt138,!!Mas fuerte!!❤,!!Harder!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt139,!!Quiero mas fuerte!!!❤,!!I want it harder!!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt140,!!MAAAAS!!❤,!!MORE!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt141,!!YA NOS TOCA A NOSOTROS!!,!!IT'S OUR TURN!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt142,!!Jajaja que se siente ser el juguete de todos nosotros?!!,!!Hahaha how does it feel to be all of our toys?!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt143,!!Ahhh....!!❤,!!Ahhh....!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt144,!!Ahhh... AHHHH!!❤,!!Ahhh... AHHHH!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt145,!!ME ENCANTAAA!!❤,!!I LOVE IT!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt146,!!Ahhh....!!❤,!!Ahhh....!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt147,Mmmmh.....❤,Mmmmh.....❤,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt148,!!ES LA MEJOR SENSACION!!,!!IT'S THE BEST FEELING!!,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt149,!!QUE ME HA PASADO EN MI VIDA!!,!!THAT HAS EVER HAPPENED TO ME IN MY LIFE!!,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt150,!!QUIERO SEGUIR SIENDO VIOLADA!!,!!I WANT TO KEEP BEING RAPED!!,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt151,!!TODO LOS DIAS!!!,!!EVERY DAY!!!,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt152,!!POR EL RESTO DE MIS DIAS!!,!!FOR THE REST OF MY DAYS!!,,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt153,!!TENGO UNA IDEA!!,!!I HAVE AN IDEA!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt154,!!VEAMOS CUANTAS VERGAS A LA VEZ LE CABEN A ESTA PUTA!!,!!LET'S SEE HOW MANY COCKS THIS WHORE CAN FIT AT ONCE!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt155,!!JAJA BUENA IDEA!!,!!HAHA GOOD IDEA!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/SXS5.png,NTR5VISUAL
ntr5_visual_txt156,!!A VER PUTA ABRE TU COÑO PARA NOSOTROS!!,!!LET'S SEE YOU BITCH OPEN YOUR PUSSY FOR US!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0001.png,NTR5VISUAL
ntr5_visual_txt157,!!Bien empecemos a contar!!,!!Okay let's start counting!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0000.png,NTR5VISUAL
ntr5_visual_txt158,!!1!!,!!1!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0002.png,NTR5VISUAL
ntr5_visual_txt159,!!2!!,!!2!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0003.png,NTR5VISUAL
ntr5_visual_txt160,!!3!!,!!3!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0004.png,NTR5VISUAL
ntr5_visual_txt161,!!Vamos chicos!! ,!!Come on guys!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0004.png,NTR5VISUAL
ntr5_visual_txt162,!!4!!,!!4!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0005.png,NTR5VISUAL
ntr5_visual_txt163,!!Si se puede!!,!!Yes we can!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0005.png,NTR5VISUAL
ntr5_visual_txt164,!!5!!,!!5!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0006.png,NTR5VISUAL
ntr5_visual_txt165,!!Vamos perra una mas!!,!!Come on bitch one more!!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0006.png,NTR5VISUAL
ntr5_visual_txt166,!!!!6!!!!!,!!!!6!!!!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0007.png,NTR5VISUAL
ntr5_visual_txt167,!!Esta puta es asombrosa!!!,!!This whore is amazing!!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0007.png,NTR5VISUAL
ntr5_visual_txt168,!!Nunca habia visto una perra asi!!,!!I've never seen a bitch like that!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0007.png,NTR5VISUAL
ntr5_visual_txt169,!!Ahhh....!!❤,!!Ahhh....!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0007.png,NTR5VISUAL
ntr5_visual_txt170,!!Jajaja!! !!Esta puta no para de venirse!!,!!Hahaha!! !!This whore just can't stop cumming!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0007.png,NTR5VISUAL
ntr5_visual_txt171,!!Muy bien chicos todos juntos  al mismo tiempo!!,!!Alright guys all together at the same time!!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0007.png,NTR5VISUAL
ntr5_visual_txt172,!!Si capitan!!,!!Yes Captain!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0007.png,NTR5VISUAL
ntr5_visual_txt173,!!!Ahora!!!,!!!Now!!!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0007.png,NTR5VISUAL
ntr5_visual_txt174,❤❤❤❤❤❤!!!AAAAAAAAAAAAAAAAAAAAAAAH!!!❤❤❤❤❤❤,❤❤❤❤❤❤!!!AAAAAAAAAAAAAAAAAAAAAAAAAAAH!!!❤❤❤❤❤❤,,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0008.png,NTR5VISUAL
ntr5_visual_txt175,!!!Jajaja bien hecho puta!!,!!!Hahaha well done bitch!!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0008.png,NTR5VISUAL
ntr5_visual_txt176,Ahora se que realmente me amas...,Now I know you really love me...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/CUM0008.png,NTR5VISUAL
ntr5_visual_txt177,!!TERMINAMOS CON ESTA PERRA!!,!!WE FINISHED THIS BITCH!!,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
ntr5_visual_txt178,!!Buen trabajo chicos!!,!!Good job guys!!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
ntr5_visual_txt179,!!Ahhh....!!❤,!!Ahhh....!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
ntr5_visual_txt180,!!Ahhh... AHHHH!!❤,!!Ahhh... AHHHH!!❤,,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
ntr5_visual_txt181,Jefe esta puta se quedo en el viaje del orgasmo jajaja ,Boss this bitch stayed in the orgasm trip hahaha,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
ntr5_visual_txt182,Jajaja Si.,Hahaha Yes.,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
ntr5_visual_txt183,Vamonos de aqui...,Let's get out of here...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
ntr5_visual_txt184,¿Que pasara con esta puta señor?,What will happen to this bitch sir?,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
ntr5_visual_txt185,La verdad no me importa un carajo ella...,I really don't give a fuck about her...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
ntr5_visual_txt186,Vayan a tirarla afuera en la calle....,Go throw her out on the street....,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
ntr5_visual_txt187,¿Pero jefe no es algo cruel?,But boss isn't that cruel?,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
ntr5_visual_txt188,!!No me escuchaste!! !!Es una orden!!,!!You didn't hear me!! !!It's an order!!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
ntr5_visual_txt189,Si jefe...,Yes boss...,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
ntr5_visual_txt190,Vamos chicos. Vamos a tirarla.,Come on guys. Let's throw her out.,ANOTHERVISUAL,NORMAL,res://art/cutscenes/NTR/ntr5/cmf1.png,NTR5VISUAL
,,,,,,
ntr5_dialogue_txt1,No llegaste en toda la noche....,You didn't come home all night....,PLAYER,NORMAL,,NTR5END
ntr5_dialogue_txt2,¿Estas bien?,Are you okay?,PLAYER,NORMAL,,NTR5END
ntr5_dialogue_txt3,!!COMO MIERDA JODES!!,HOW THE FUCK ARE YOU!!,HAVANYNUDECUM,NORMAL,,NTR5END
ntr5_dialogue_txt4,!!YA NO TE SOPORTO!!,I CAN'T STAND YOU ANYMORE!!,HAVANYNUDECUM,NORMAL,,NTR5END
ntr5_dialogue_txt5,Por que me tratas asi...,Why do you treat me like this...,PLAYER,NORMAL,,NTR5END
ntr5_dialogue_txt6,Lo unico que hago es amarte y protegerte...,All I do is love and protect you...,PLAYER,NORMAL,,NTR5END
ntr5_dialogue_txt7,!!SI HAGO ESTE TIPO DE COSAS ES POR TI!!,IF I DO THIS KIND OF THING IT'S FOR YOU!!,HAVANYNUDECUM,NORMAL,,NTR5END
ntr5_dialogue_txt8,!¿Que cosas?!,What kind of things?!,PLAYER,NORMAL,,NTR5END
ntr5_dialogue_txt9,!!CALLATE Y DEJAME EN PAZ!!,SHUT UP AND LEAVE ME ALONE!!,HAVANYNUDECUM,NORMAL,,NTR5END
ntr5_dialogue_txt10,Me voy a dormir... estoy muerta...,I'm going to sleep... I'm dead...,HAVANYNUDECUM,NORMAL,,NTR5END
ntr5_dialogue_txt11,Havany....................................,Havany...................................,PLAYER,NORMAL,,NTR5END
ntr5_dialogue_txt12,¿A un me amas?,Do you still love me?,PLAYER,NORMAL,,NTR5END
ntr5_dialogue_txt13,.........................,........................,HAVANYNUDECUM,NORMAL,,NTR5END
ntr5_dialogue_txt14,.........................,.........................,PLAYER,NORMAL,,NTR5END
,,,,,,
love_txt1,Quitate la ropa por favor mi amor.❤,Please take off your clothes my love. ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S1.png,LOVE1
love_txt2,Me da un poco de pena...,I feel a little sorry...,,NORMAL,res://art/cutscenes/love/S1.png,LOVE1
love_txt3,Eres hermosa mi vida,You're beautiful my life,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S1.png,LOVE1
love_txt4,Y estas conmigo no deberia darte pena corazon ❤,And you're with me. You shouldn't feel sorry sweetheart ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S1.png,LOVE1
love_txt5,Si mi amor tienes razon ❤,Yes my love you're right ❤,,NORMAL,res://art/cutscenes/love/S2.png,LOVE1
love_txt6,Gracias por hacerme sentir comoda❤,Thank you for making me feel comfortable ❤,,NORMAL,res://art/cutscenes/love/S2.png,LOVE1
love_txt7,Sempre lo hare cielo ❤,I always will sweetheart ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S2.png,LOVE1
love_txt8,Ya me quite todo amor.. ❤,I've already taken everything off love.. ❤,,NORMAL,res://art/cutscenes/love/S3.png,LOVE1
love_txt9,Pero dejame apreciar todo tu cuerpo cariño ❤,But let me appreciate your whole body darling ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S3.png,LOVE1
love_txt10,Es que....,It's just...,,NORMAL,res://art/cutscenes/love/S3.png,LOVE1
love_txt11,Vamos mi amor solo yo voy a ver tu precioso cuerpo...❤,Come on my love only I'm going to see your beautiful body... ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S3.png,LOVE1
love_txt12,Nadie mas lo va a ver ❤,No one else is going to see it ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S3.png,LOVE1
love_txt13,Esta bien cielo ❤,It's okay sweetheart ❤,,NORMAL,res://art/cutscenes/love/S4.png,LOVE1
love_txt14,Se me hace tan tierno lo penosa que eres mi amor ❤,It makes me feel so tender how pitiful you are my love ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S4.png,LOVE1
love_txt15,Aparte solo yo he sido el privilegiado de poder verte asi ¿no?,Besides I've only been privileged to see you like this right?,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S4.png,LOVE1
love_txt16,....Mmmh.. Si.. Je...,.... Mmmh... Yes... Je...,,NORMAL,res://art/cutscenes/love/S4.png,LOVE1
love_txt17,Entonces no temas mi corazon ❤,So don't be afraid my heart ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S4.png,LOVE1
love_txt18,Estoy muy caliente mi amor ❤,I'm so hot my love ❤,,NORMAL,res://art/cutscenes/love/S5.png,LOVE1
love_txt19,Deseo estar contigo ❤,I want to be with you ❤,,NORMAL,res://art/cutscenes/love/S5.png,LOVE1
love_txt20,Yo tambien mi amor ❤,Me too my love ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S5.png,LOVE1
love_txt21,Me muero por hacer el amor contigo ❤,I'm dying to make love to you ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S5.png,LOVE1
love_txt22,Dejame verlo mi amor ❤,Let me see it my love ❤,,NORMAL,res://art/cutscenes/love/S5.png,LOVE1
love_txt23,Aqui esta mi amor ❤,Here's my love ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt24,Solo para ti ❤,Just for you ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt25,Todo esto es tuyo mi amor ❤,All of this is yours my love ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt26,!Woow si mi amor es mio! ❤,Woow yes my love is mine! ❤,,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt27,¿Esta bien como lo lamo mi amor? ❤,Is it okay how I lick it my love? ❤,,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt28,!!OH SI QUE RICO CARIÑO!! ❤,OH YES SO RICH BABY!! ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt29,¿No quisieras ponerlo en tu boca mi amor? ❤,Wouldn't you like to put it in your mouth my love? ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt30,Si corazon ❤,Yes my love ❤,,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt31,!!Oh que bien se siente mi amor!! ❤,!! Oh how good it feels my love!! ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt32,¿Te gusta tener mi pene en tu boca mi amor? ❤,Do you like having my penis in your mouth my love? ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt33,Si corazon ❤,Yes my love ❤,,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt34,!Oh que rico!❤,Oh how delicious! ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt35,!No voy a aguantar mas amor! ❤,I won't hold back any longer my love! ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt36,❤!!Ahhhhhhhh!❤,❤!! Ahhhhhhhh!❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt37,Perdon por terminar en tu boca corazon ❤,Sorry for ending up in your mouth sweetheart ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt38,No te preocupes cariño ❤,Don't worry darling ❤,,NORMAL,res://art/cutscenes/love/S6_1.png,LOVE1
love_txt39,!¿Lista para lo siguiente mi amor?!❤,Ready for what's next my love?!❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/SX7.png,LOVE1
love_txt40,!Esto sera increible!,This will be incredible!,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/SX7.png,LOVE1
love_txt41,Si mi amor pero primero ponte el condon. ❤,Yes my love but put on a condom first. ❤,,NORMAL,res://art/cutscenes/love/SX8.png,LOVE1
love_txt42,Recuerda que jamas lo hemos hecho sin condon,Remember we've never done it without a condom.,,NORMAL,res://art/cutscenes/love/SX8.png,LOVE1
love_txt43,Y no quiero quedar embarazada. ❤,And I don't want to get pregnant. ❤,,NORMAL,res://art/cutscenes/love/SX8.png,LOVE1
love_txt44,Tienes razon mi amor ❤,You're right my love ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/SX8.png,LOVE1
love_txt45,!!Listo!!,Ready!!,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/SX9.png,LOVE1
love_txt46,!!Ahora si a la accion mi amor!! ❤,Now let's get to work my love!! ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/SX9.png,LOVE1
love_txt47,Si corazon ❤,Yes sweetheart ❤,,NORMAL,res://art/cutscenes/love/SX9.png,LOVE1
love_txt48,!!Oh que bien se siente!! ❤,Oh that feels so good!! ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/SX9.png,LOVE1
love_txt49,¿Ya entro mi amor?,Is it all in my love?,,NORMAL,res://art/cutscenes/love/SX9.png,LOVE1
love_txt50,!!Si ya esta todo adentro!! !!No aguanto maaas!!!,Yes it's all in!! I can't hold on any longer!!!,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/SX9.png,LOVE1
love_txt51,!!Aaaaaah!! ❤,Aaaaaah!! ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/SX9.png,LOVE1
love_txt52,!!Eso estuvo increbile mi amor!!! ❤,That was incredible my love!!! ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S10.png,LOVE1
love_txt53,Jeje... Si mi amor... ❤,Hehe... Yes my love... ❤,,NORMAL,res://art/cutscenes/love/S10.png,LOVE1
love_txt54,¿Hace cuanto no lo haciamos cielo?  ❤,How long has it been since we did this honey? ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S10.png,LOVE1
love_txt55,....Mmmh.. No recuerdo...,...Mmmh... I don't remember...,,NORMAL,res://art/cutscenes/love/S10.png,LOVE1
love_txt56,Bueno mi amor me voy a dormir estoy muy cansado. ❤,Well my love I'm going to sleep I'm so tired. ❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S10.png,LOVE1
love_txt57,Acabo de usar toda mi energia contigo ❤ jajaja,I just used all my energy on you ❤ hahaha,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S10.png,LOVE1
love_txt58,Si corazon ❤,Yes sweetheart ❤,,NORMAL,res://art/cutscenes/love/S10.png,LOVE1
love_txt59,Descansa buenas noches amor. Te amo❤,Rest well good night love. I love you❤,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S10.png,LOVE1
love_txt60,Buenas noches mi amor. Te amo❤,Good night my love. I love you❤,,NORMAL,res://art/cutscenes/love/S10.png,LOVE1
love_txt61,.....................,.....................,,NORMAL,res://art/cutscenes/love/S21.png,LOVE1
love_txt62,¿Mi amor estas despierto?,My love are you awake?,,NORMAL,res://art/cutscenes/love/S21.png,LOVE1
love_txt63,..zzzZZZ......  zzzZZZ....        zzzZZZZ....,..zzzZZZ...... zzzZZZ.... zzzZZZZ....,PLAYERVISUAL,NORMAL,res://art/cutscenes/love/S21.png,LOVE1
love_txt64,....Mmmmhhh...,....Mmmmhhh...,,NORMAL,res://art/cutscenes/love/S21.png,LOVE1
love_txt65,Estoy demasiado caliente....,I'm too horny....,,NORMAL,res://art/cutscenes/love/S21.png,LOVE1
love_txt66,Estaria bien si.....,Would it be nice if.....,,NORMAL,res://art/cutscenes/love/S21.png,LOVE1
love_txt67,!No Havany controlate! !Mejor duermete ya!,No Havany control yourself! You better go to sleep now!,,NORMAL,res://art/cutscenes/love/S20.png,LOVE1
love_txt68,.....................,.....................,,NORMAL,res://art/cutscenes/love/S20.png,LOVE1
love_txt69,No aguanto.....,I can't hold it in.....,,NORMAL,res://art/cutscenes/love/S21.png,LOVE1
love_txt70,!Tengo que hacerlo rapido!,I have to do it fast!,,NORMAL,res://art/cutscenes/love/S21.png,LOVE1
love_txt71,¿Donde habia dejado mi juguete?,Where did I leave my toy?,,NORMAL,res://art/cutscenes/love/S22.png,LOVE1
love_txt72,!!En el baño!!,!! In the bathroom!!,,NORMAL,res://art/cutscenes/love/S22.png,LOVE1
love_txt73,!!Aqui esta!!,!! Here it is!!,,NORMAL,res://art/cutscenes/love/S23.png,
love_txt74,!!No puedo resistir mas!!,!! I can't resist anymore!!,,NORMAL,res://art/cutscenes/love/S23.png,
love_txt75,!!Aaah!!❤,!! Aaah!!❤,,NORMAL,res://art/cutscenes/love/S23.png,LOVE1
love_txt76,!!Que ricooooo!! ❤,!! So yummy!! ❤,,NORMAL,res://art/cutscenes/love/S23.png,LOVE1
love_txt77,!!Esto si se siente bien!! ❤,!! This feels good!! ❤,,NORMAL,res://art/cutscenes/love/S23.png,LOVE1
love_txt78,!!mmmhhh!! ❤,!! Mmmhhh!! ❤,,NORMAL,res://art/cutscenes/love/S23.png,LOVE1
love_txt79,!!¿Que es lo que me paso?!!❤,!! What happened to me?!!❤,,NORMAL,res://art/cutscenes/love/S23.png,LOVE1
love_txt80,!!Por que me he vuelto tan caliente!! ❤,!! Why have I become so horny!! ❤,,NORMAL,res://art/cutscenes/love/S23.png,LOVE1
love_txt81,Y por que no dejo de pensar...,And why can't I stop thinking...,,NORMAL,res://art/cutscenes/love/S23.png,LOVE1
love_txt82,La verga de ese hombre.... ❤,That man's cock.... ❤,,NORMAL,res://art/cutscenes/love/S23.png,LOVE1
,,,,,,
love2_txt1,Bien ahora que estan dormidos...,Okay now that you're asleep...,RATZWEL,NORMAL,,LOVE2
